x,y,velocity
1935260.5755279756,966974.6304359554,5
1935260.7800654948,966974.66025271,5
1935261.0932971044,966974.7156766516,5
1935261.202120768,966974.7379254872,5
1935261.303622986,966974.7602604282,5
1935261.4637738587,966974.7987172486,5
1935261.5836715957,966974.82995847,5
1935261.680549556,966974.8569743432,5
1935261.8086427543,966974.89559091,5
1935261.9251593829,966974.9334155016,5
1935262.1221098057,966975.00123344,5
1935262.2972098573,966975.0640141004,5
1935262.5266547592,966975.1480806554,5
1935262.632515149,966975.1873412224,5
1935262.7780131025,966975.2416229476,5
1935262.98257883,966975.3172678964,5
1935263.1513589767,966975.3821935096,5
1935263.4571241809,966975.5128868164,5
1935263.644936814,966975.6022848109,5
1935263.7449639556,966975.6531717336,5
1935263.8406396557,966975.7038381024,5
1935263.9617026448,966975.7708815546,5
1935264.134482116,966975.8733034278,5
1935264.2375236312,966975.9381624812,5
1935264.3233645395,966975.994904788,5
1935264.4261621565,966976.0664803124,5
1935264.5842169404,966976.1807006812,5
1935264.74491967,966976.299776008,5
1935264.9505875304,966976.4537118028,5
1935265.083724203,966976.5537139496,5
1935265.264182396,966976.6899730886,5
1935265.4438221832,966976.8260927044,5
1935265.60317249,966976.945982878,5
1935265.75889072,966977.0629254972,5
1935265.880890519,966977.1543024004,5
1935265.9626226807,966977.215046169,5
1935266.1153226907,966977.3273533088,5
1935266.224996962,966977.406355699,5
1935266.3316226131,966977.4826453376,5
1935266.4354335812,966977.557499991,5
1935266.5178362,966977.6177143768,5
1935266.7124273733,966977.7634511356,5
1935266.8188700788,966977.84549515,5
1935266.901260238,966977.9101949632,5
1935267.1038826024,966978.0740650768,5
1935267.2050148568,966978.158893971,5
1935267.348730183,966978.2837167374,5
1935267.4958713648,966978.414343193,5
1935267.5989183623,966978.505884687,5
1935267.7233875769,966978.6153309764,5
1935267.9015076652,966978.7743280972,5
1935268.0002736528,966978.865281777,5
1935268.1683793047,966979.0257809324,5
1935268.300265619,966979.1574284245,5
1935268.4826608552,966979.3487304156,5
1935268.6479897867,966979.5331644978,5
1935268.7227821767,966979.620350443,5
1935268.8126210212,966979.7288685264,5
1935268.9694039132,966979.9294116348,5
1935269.093532195,966980.0988647118,5
1935269.247731937,966980.3149031675,5
1935269.376602736,966980.4971566636,5
1935269.4551747344,966980.6085239884,5
1935269.530005445,966980.7143977716,5
1935269.5892529169,966980.7978037752,5
1935269.679093312,966980.925574749,5
1935269.7409859505,966981.0117457,5
1935269.806931134,966981.1042748227,5
1935269.917993356,966981.2641875189,5
1935269.9955228951,966981.3800261656,5
1935270.0638598967,966981.4862322232,5
1935270.139536642,966981.607867102,5
1935270.2069551589,966981.7210597248,5
1935270.301456934,966981.8871859972,5
1935270.3572452115,966981.9899915508,5
1935270.4157413973,966982.1028533572,5
1935270.5137992068,966982.3040267545,5
1935270.573617465,966982.4361966986,5
1935270.6443771748,966982.6044708308,5
1935270.693297737,966982.7301017714,5
1935270.7557029256,966982.8953815256,5
1935270.806102014,966983.0305085843,5
1935270.8441521504,966983.1326355604,5
1935270.9028455769,966983.2899651022,5
1935270.9507786075,966983.4172899228,5
1935270.9897335283,966983.5206687228,5
1935271.03443656,966983.6444293504,5
1935271.0898069204,966983.807197147,5
1935271.1240871816,966983.9164018726,5
1935271.155165478,966984.0233234548,5
1935271.1904806944,966984.1544038774,5
1935271.2304468192,966984.3073786768,5
1935271.2890029056,966984.528876616,5
1935271.349594565,966984.7531797242,5
1935271.3835748115,966984.87659245,5
1935271.4195272943,966985.0045810356,5
1935271.4916189248,966985.2583888976,5
1935271.5278957328,966985.3957241664,5
1935271.5977293584,966985.6739468836,5
1935271.627467428,966985.7920266032,5
1935271.6554481236,966985.9013011606,5
1935271.6999060465,966986.070970622,5
1935271.741054823,966986.2220501098,5
1935271.7847761656,966986.3785197142,5
1935271.8190727197,966986.5021562406,5
1935271.8808929727,966986.732237013,5
1935271.9149696368,966986.86553401,5
1935271.947114232,966986.9962987952,5
1935271.972153978,966987.099563618,5
1935272.0436284305,966987.3912463948,5
1935272.0985505143,966987.6034503689,5
1935272.1307507253,966987.7242979512,5
1935272.1849308035,966987.9258346318,5
1935272.212883352,966988.0319059046,5
1935272.2405529728,966988.1393699724,5
1935272.3118161813,966988.4307204848,5
1935272.3575822455,966988.6327115626,5
1935272.3799775229,966988.7370864184,5
1935272.407046904,966988.8691220044,5
1935272.431196648,966988.9931337372,5
1935272.4547468252,966989.1211673188,5
1935272.473425536,966989.2292627842,5
1935272.500311344,966989.3971831126,5
1935272.5175340215,966989.5149129716,5
1935272.5339025408,966989.6427100588,5
1935272.5601339464,966989.864844934,5
1935272.5789601132,966990.0276913868,5
1935272.5923158068,966990.141134918,5
1935272.6163036255,966990.3378282228,5
1935272.6411476885,966990.5312888954,5
1935272.656109196,966990.6425862808,13
1935272.678324294,966990.8002985484,13
1935272.712927943,966991.0241460263,13
1935272.740797956,966991.2045299846,13
1935272.773893765,966991.442421632,13
1935272.7999597248,966991.662789462,13
1935272.8188446364,966991.8503952652,13
1935272.8303978788,966991.9847680564,13
1935272.840491259,966992.1208727604,13
1935272.848998261,966992.2713585108,13
1935272.858828441,966992.5178436618,13
1935272.8640829616,966992.6456347106,13
1935272.8698173936,966992.766202086,13
1935272.8773562773,966992.9061919613,13
1935272.885017296,966993.030862988,13
1935272.8919873016,966993.1346597328,13
1935272.909805241,966993.3582406304,13
1935272.9185316483,966993.4597667824,13
1935272.9334409053,966993.6022632676,13
1935272.9424360571,966993.7891417628,13
1935272.94971164,966993.9614477732,13
1935272.9555741176,966994.1796049436,13
1935272.9573062088,966994.3673619204,13
1935272.959371502,966994.5434733614,13
1935272.9641878076,966994.7428824648,13
1935272.9702831367,966994.9014312234,13
1935272.9759116916,966995.0139146716,13
1935272.98597706,966995.2014168674,13
1935272.9967936943,966995.404956274,13
1935273.0063494835,966995.6126653656,13
1935273.0120622795,966995.8056222148,13
1935273.0138201315,966995.910234264,13
1935273.0138171967,966996.051320646,13
1935273.013949616,966996.1994683392,13
1935273.0169785996,966996.3455713775,13
1935273.0188582444,966996.4525614036,13
1935273.021818308,966996.6000843344,13
