x,y
1935243.3205240804,966974.6812650098
1935243.3286052137,966974.6809837297
1935243.337311918,966974.6807077443
1935243.346643479,966974.6803912902
1935243.3566003619,966974.6800648795
1935243.3671823395,966974.6797132537
1935243.3783434094,966974.6793218922
1935243.3901300477,966974.6789358233
1935243.402496028,966974.67852527
1935243.4154718346,966974.6780897453
1935243.4291032404,966974.6776285253
1935243.4434972468,966974.6771551565
1935243.4588971583,966974.6766199988
1935243.4755627383,966974.6760494235
1935243.4936157723,966974.6754262375
1935243.5133155284,966974.6747463093
1935243.5348598126,966974.6739759763
1935243.5585844012,966974.6731251496
1935243.584824845,966974.6721884777
1935243.6135351385,966974.6711514443
1935243.6445465398,966974.6699557111
1935243.6776915248,966974.6686191999
1935243.712986311,966974.6672026798
1935243.7505074064,966974.6657201826
1935243.7904668788,966974.6640768048
1935243.8328807063,966974.6623180484
1935243.8778561486,966974.6604727231
1935243.9253614733,966974.6584650557
1935243.9754884457,966974.6563088367
1935244.028254744,966974.6541563446
1935244.0837187525,966974.6527999536
1935244.141882376,966974.6514005653
1935244.2027746432,966974.6498661763
1935244.2663948345,966974.6481510345
1935244.3328054133,966974.6463456769
1935244.4020376168,966974.6444953756
1935244.4741054703,966974.6425236271
1935244.5490409525,966974.6405214581
1935244.626873342,966974.6384121238
1935244.7076336273,966974.6362256377
1935244.7913983194,966974.6339760405
1935244.8781974264,966974.6316323443
1935244.968000696,966974.629210283
1935245.060899389,966974.6266931486
1935245.1570160154,966974.6241095021
1935245.2565023657,966974.6214111557
1935245.3595569567,966974.6186102083
1935245.4664397961,966974.6157482804
1935245.5773327006,966974.6127462011
1935245.6924194223,966974.6096468065
1935245.8117757349,966974.6064183802
1935245.935447388,966974.603060194
1935246.063465381,966974.599602266
1935246.1957529613,966974.5960153064
1935246.3322953703,966974.592330062
1935246.4730158525,966974.5885172427
1935246.6178386388,966974.5846085697
1935246.7666719714,966974.5805902461
1935246.9194851106,966974.5764475074
1935247.076186777,966974.572197062
1935247.2367464725,966974.5678393947
1935247.4011034379,966974.5633907337
1935247.5692421626,966974.5588360663
1935247.7411016522,966974.5541763648
1935247.9166969135,966974.5493961339
1935248.095937164,966974.5445425875
1935248.278867664,966974.5395844962
1935248.4655336929,966974.5344906218
1935248.6558599614,966974.5293231907
1935248.8498614773,966974.5240667053
1935249.0474614918,966974.5186918782
1935249.2486678802,966974.5132138403
1935249.4534508607,966974.5076788289
1935249.661832102,966974.5020102266
1935249.8736903116,966974.4962557297
1935250.0883084096,966974.4904115002
1935250.3040551522,966974.4845492973
1935250.519077186,966974.4786833795
1935250.7319799173,966974.4728969882
1935250.9422750399,966974.467182643
1935251.1500085576,966974.4615548672
1935251.3554082748,966974.4559490102
1935251.5586048034,966974.4504240133
1935251.759636035,966974.4449640175
1935251.9585322319,966974.4395532862
1935252.1553014987,966974.4342222018
1935252.3499507378,966974.4289248846
1935252.5425259473,966974.4236758623
1935252.7333174015,966974.4185010168
1935252.9227211622,966974.4133635308
1935253.11113379,966974.4082570896
1935253.2989360956,966974.4031451148
1935253.4863725933,966974.3980542214
1935253.6736641964,966974.3929656342
1935253.8609481747,966974.3878771726
1935254.0483084144,966974.3827874911
1935254.2357982965,966974.3776957475
1935254.4234178145,966974.3726019374
1935254.611174607,966974.3675059422
1935254.7990851302,966974.3624837763
1935254.9870803251,966974.3584671499
1935255.1751096677,966974.3546788163
1935255.3631050077,966974.3511503756
1935255.551041528,966974.347760173
1935255.7388289808,966974.3455470507
1935255.9264055793,966974.3435050962
1935256.1137391715,966974.342489159
1935256.300748731,966974.341722477
1935256.4873235177,966974.3414356533
1935256.6734320445,966974.341568162
1935256.8589899521,966974.3420908407
1935257.043962989,966974.3432483238
1935257.2282723258,966974.3444011242
1935257.4119035765,966974.3460834251
1935257.5946191277,966974.3482227317
1935257.7761506129,966974.3507317825
1935257.9563076198,966974.3536288701
1935258.1348987743,966974.3568712719
1935258.311878561,966974.3604749679
