x,y,road,event
1935244.4151654176,966974.6650952832,stop,run
1935244.4518779689,966974.6645715318,stop,run
1935244.4756868333,966974.664222804,stop,run
1935244.486958064,966974.6640432706,stop,run
1935244.5243417013,966974.6635088295,stop,run
1935244.5498892968,966974.6631324082,stop,run
1935244.5878525104,966974.6625887344,stop,run
1935244.6135068696,966974.6622106126,stop,run
1935244.6520491769,966974.6616272028,stop,run
1935244.6778408017,966974.6612468936,stop,run
1935244.6890820165,966974.6610983502,stop,run
1935244.728264906,966974.660504738,stop,run
1935244.7550174089,966974.6601091227,stop,run
1935244.794765104,966974.6595370268,stop,run
1935244.8220361755,966974.6591331508,stop,run
1935244.862317207,966974.6585220472,stop,run
1935244.8891612245,966974.6581249752,stop,run
1935244.9001734112,966974.6579648248,stop,run
1935244.94108002,966974.6573590118,stop,run
1935244.969052927,966974.6569592129,stop,run
1935245.0104781005,966974.6563451414,stop,run
1935245.038816814,966974.6559242588,stop,run
1935245.0807002792,966974.6553486557,stop,run
1935245.1093655464,966974.6543581056,stop,run
1935245.1516747985,966974.6527383206,stop,run
1935245.1800950617,966974.65169065,stop,run
1935245.223000116,966974.6501223976,stop,run
1935245.251817173,966974.6490836616,stop,run
1935245.2641674103,966974.648642847,stop,run
1935245.3086126712,966974.647034804,stop,run
1935245.3391369863,966974.6459078531,stop,run
1935245.3865849453,966974.644129936,stop,run
1935245.4206307728,966974.6428400998,stop,run
1935245.4736720924,966974.6407137384,stop,run
1935245.51192504,966974.6392043307,stop,run
1935245.573550323,966974.6367581716,stop,run
1935245.6178086733,966974.6349090112,stop,run
1935245.6397771,966974.6339488538,stop,run
1935245.714738408,966974.63069529,stop,run
1935245.770031684,966974.6281974294,stop,run
1935245.8567890592,966974.6241915053,stop,run
1935245.919550225,966974.62122381,stop,run
1935246.015450545,966974.6165535536,stop,run
1935246.083925377,966974.6131287032,straight,run
1935246.186528808,966974.6078634884,stop,run
1935246.2567394648,966974.6042279188,stop,run
1935246.288292408,966974.6025506296,straight,run
1935246.3978565256,966974.5965795596,stop,run
1935246.474082732,966974.592283707,straight,run
1935246.5912277787,966974.5852765362,stop,run
1935246.674372612,966974.5814654564,straight,run
1935246.8011921493,966974.5765162864,stop,run
1935246.891344705,966974.5730360048,straight,run
1935247.028956827,966974.5675487836,stop,run
1935247.1265002864,966974.5635541244,straight,run
1935247.275573663,966974.5573656427,straight,run
1935247.3802054168,966974.5530139832,straight,run
1935247.5410637287,966974.5463326684,straight,run
1935247.6547975328,966974.5416224452,straight,run
1935247.8274708088,966974.5344173048,straight,run
1935247.959682509,966974.5289398268,straight,run
1935248.1429675308,966974.52133682,straight,run
1935248.2652843243,966974.5162457894,stop,run
1935248.319803392,966974.513989098,straight,run
1935248.5070362587,966974.5061706478,straight,run
1935248.6320821848,966974.5009751224,straight,run
1935248.8183401376,966974.4932484848,straight,run
1935248.9395287712,966974.4882059318,stop,run
1935248.9935066293,966974.4859731172,straight,run
1935249.177469641,966974.4783135434,straight,run
1935249.2987726587,966974.473269172,stop,run
1935249.3484053984,966974.4712123596,straight,run
1935249.529486999,966974.463674962,straight,run
1935249.6541745071,966974.4584851448,straight,run
1935249.8324202008,966974.451053941,straight,run
1935249.9494317248,966974.4461999704,stop,run
1935249.9982866123,966974.4441555504,straight,run
1935250.1731635595,966974.4369000534,straight,run
1935250.2904801224,966974.4320412256,straight,run
1935250.462368406,966974.4248790996,straight,run
1935250.573609236,966974.4202543522,stop,run
1935250.625986362,966974.418092804,straight,run
1935250.7944291465,966974.4110770972,straight,run
1935250.904099992,966974.4065383774,stop,run
1935250.953023753,966974.4045081146,straight,run
1935251.1186308807,966974.3976138532,straight,run
1935251.2245433168,966974.3932112836,stop,run
1935251.2694880115,966974.3913511906,straight,run
1935251.433601169,966974.3845264924,straight,run
1935251.539002668,966974.3801320588,stop,run
1935251.5903202707,966974.3780178976,straight,run
1935251.753960616,966974.3712007324,straight,run
1935251.861557428,966974.3667103084,stop,run
1935251.908590672,966974.3647559254,straight,run
1935252.0726656984,966974.357931834,straight,run
1935252.183563604,966974.3533278056,straight,run
1935252.3487746613,966974.3464703616,straight,run
